,,,,,
Оптовый поставщик цветов,,,,,
order@rct-opt.ru,,,https://rct-opt.ru/,,
г.Москва Ломоносовский пр-кт 23 подъезд №4,,,,,
Тел. +7 985 199-13-13-Офис; +7 916 995-13-13-Сергей,,,,,
"Для получения специальных условий по оптовым заказам обращайтесь, пожалуйста, к менеджерам.",,,,,
Цены в прайсе действительны на дату скачивания прайса. Время формирования прайса: 23.12.2025 11:04,,,,,
,НАИМЕНОВАНИЕ,Кол-во,Цена,ЗАКАЗ,СУММА
,Эквадор,,,,
,Альстромерия 70см (Эквадор) GALAXY,140,60,0,0
,Гвоздика Красная (Эквадор) LA UNION,475,38,0,0
,Гвоздика Кустовая (Эквадор) LA UNION,350,41,0,0
,Гипсофила белая (Эквадор) PIANGOFLOR,200,70,0,0
,Гипсофила мультиколор (Эквадор) PIANGOFLOR,625,78,0,0
,Матиола (Эквадор) ISABELLA,230,65,0,0
,Подсолнух 70 см (Эквадор) PIANGOFLOR,20,150,0,0
,Протея (Эквадор) PROTEAS,7,195,0,0
,Роза Бабалу 50 см (Эквадор) FRAMA FLOWERS,25,75,0,0
,Роза Бабалу 60 см (Эквадор) FRAMA FLOWERS,25,85,0,0
,Роза Бабалу 70 см (Эквадор) FRAMA FLOWERS,50,95,0,0
,Роза Бабалу 80 см (Эквадор) FRAMA FLOWERS,25,105,0,0
,Роза Бариста 50 см (Эквадор) FRAMA FLOWERS,50,75,0,0
,Роза Бариста 70 см (Эквадор) FRAMA FLOWERS,25,95,0,0
,Роза Би Свит 80 см (Эквадор) FRAMA FLOWERS,25,108,0,0
,Роза Булевард 50 см (Эквадор) FRAMA FLOWERS,50,85,0,0
,Роза Ви Пинк 50 см (Эквадор) FRAMA FLOWERS,50,75,0,0
,Роза Кантри Блюз 40см (Эквадор) FRAMA FLOWERS,150,85,0,0
,Роза Кантри Блюз 50см (Эквадор) FRAMA FLOWERS,150,95,0,0
,Роза Кантри Блюз 70см (Эквадор) FLOWERS DESIGN,75,108,0,0
,Роза Карнелиан 50 см (Эквадор) FRAMA FLOWERS,50,75,0,0
,Роза Карнелиан 70 см (Эквадор) FRAMA FLOWERS,25,95,0,0
,Роза Кенди Экспрешен 40 см (Эквадор) FRAMA FLOWERS,150,70,0,0
,Роза Кенди Экспрешен 60 см (Эквадор) FLOWERS DESIGN,75,120,0,0
,Роза Кенди Экспрешен 70 см (Эквадор) FLOWERS DESIGN,75,125,0,0
,Роза Кенди Экспрешен 70 см (Эквадор) FRAMA FLOWERS,50,100,0,0
,Роза Кендилайт 40 см (Эквадор) FRAMA FLOWERS,100,70,0,0
,Роза Коттон Экспрешн 50 см (Эквадор) FRAMA FLOWERS,175,80,0,0
,Роза Коттон Экспрешн 60 см (Эквадор) FRAMA FLOWERS,175,90,0,0
,Роза Коттон Экспрешн 70 см (Эквадор) FRAMA FLOWERS,25,105,0,0
,Роза Кустовая Микс 50 см (Эквадор) GALAXY,410,103,0,0
,Роза Лучано 50 см (Эквадор) FRAMA FLOWERS,25,75,0,0
,Роза Мандарин Экспрешн 50см (Эквадор) FLOWERS DESIGN,50,120,0,0
,Роза Мандарин Экспрешн 60 см (Эквадор) FLOWERS DESIGN,50,120,0,0
,Роза Моментум 70 см (Эквадор) FRAMA FLOWERS,25,95,0,0
,Роза Моментум 80 см (Эквадор) FRAMA FLOWERS,25,105,0,0
,Роза Мондиаль 50 см (Эквадор) FRAMA FLOWERS,25,75,0,0
,Роза Мондиаль 60 см (Эквадор) FRAMA FLOWERS,25,85,0,0
,Роза Мондиаль 70 см (Эквадор) FLOWERS DESIGN,75,103,0,0
,Роза Мондиаль 80 см (Эквадор) FRAMA FLOWERS,150,110,0,0
,Роза Мондиаль 90 см (Эквадор) FRAMA FLOWERS,150,115,0,0
,Роза Мультиколор 60 см (Эквадор) LUAN,400,125,0,0
,Роза Нина 60см (Эквадор) FLOWERS DESIGN,150,96,0,0
,Роза Оранж Краш 50 см (Эквадор) FRAMA FLOWERS,100,75,0,0
,Роза Пинк Мондиаль 70 см (Эквадор) FLOWERS DESIGN,175,105,0,0
,Роза Хот Спот 50 см (Эквадор) FRAMA FLOWERS,25,75,0,0
,Роза Шокин Блу 60 см (Эквадор) FRAMA FLOWERS,25,85,0,0
,Роза Шокин Блу 80 см (Эквадор) FRAMA FLOWERS,25,105,0,0
,Роза Эксплорер 70 см (Эквадор) FLOWERS DESIGN,25,100,0,0
,Роза Эксплорер 80 см (Эквадор) FLOWERS DESIGN,25,110,0,0
,Роза Эксплорер 80 см (Эквадор) FRAMA FLOWERS,300,110,0,0
,Роза Эсперанс 50 см (Эквадор) FRAMA FLOWERS,25,75,0,0
,Солидаго (Эквадор) PIANGOFLOR,100,45,0,0
,Израиль,,,,
,Вакс Белый (Израиль),150,60,0,0
,Кохия (Израиль),130,100,0,0
,Питоспорум (Израиль),240,110,0,0
,Рускус (Израиль) 50 см,650,25,0,0
,Рускус (Израиль) 60 см,600,30,0,0
,Китай,,,,
,Писташ (Китай) LI HUA,7,650,0,0
,Эвкалипт Цинерия (Китай) LI HUA,11,1450,0,0
