Прайс-лист на 23 декабря 2025 г.,,,,,,,,
,,,,,,,,
Номенклатура.Группа,,,,,,,,оптовая
Номенклатура,,,,,,,,Цена
Гвоздика,,,,,,,,
Гвоздика Алтаир (20),,,,,,,,"67,00"
Гвоздика Барб Киви Кул,,,,,,,,"102,00"
Гвоздика Грин Марти (20),,,,,,,,"70,00"
Гвоздика Джоди (20),,,,,,,,"71,00"
Гвоздика кустовая Артик (10),,,,,,,,"67,00"
Гвоздика кустовая Мисс Роуз,,,,,,,,"76,00"
Гвоздика кустовая Раскал Грин (10),,,,,,,,"44,00"
Гвоздика кустовая Раскал пинк,,,,,,,,"61,00"
Гвоздика кустовая Розадита (10),,,,,,,,"63,00"
Гвоздика кустовая Свинг,,,,,,,,"58,00"
Гвоздика кустовая Хамада (10),,,,,,,,"58,00"
Гвоздика кустовая Черри Блоссом,,,,,,,,"46,00"
Гвоздика Маручи (20),,,,,,,,"90,00"
Гвоздика Оказо +,,,,,,,,"59,00"
Гвоздика Эпл Ти,,,,,,,,"69,00"
Гвоздика Юкари Церайс,,,,,,,,"53,00"
Другие цветы,,,,,,,,
Амариллис лавли Нимф х12,,,,,,,,"470,00"
Амариллис Прополис(1),,,,,,,,"1 699,00"
Амариллис Увайт Симфония х15,,,,,,,,"579,00"
Анемон Италия (50/10),,,,,,,,"172,00"
Аспарагус,,,,,,,,"158,00"
Аспарагус Экстра (1),,,,,,,,"3 923,00"
Брассика Блэк Ангел,,,,,,,,"157,00"
Брассика Крэйн Куин 6,,,,,,,,"245,00"
Брассика Крэйн Куин 7,,,,,,,,"110,00"
Брассика Крэйн Ру Рэд,,,,,,,,"254,00"
Бруния Ла Рэд (10),,,,,,,,"128,00"
Ваксфлауэр Тал,,,,,,,,"141,00"
Гиперикум Коко Диабло 50 см,,,,,,,,"120,00"
Гиперикум Коко Таймо (10),,,,,,,,"148,00"
Гиперикум красный 60см(10),,,,,,,,"209,00"
Гипсофила Эсмералда Краш Экв (25/5),,,,,,,,"121,00"
Гипсофила Эсмералда Экв (25/5),,,,,,,,"113,00"
